date,HPG,REE,REE
2019-06-13,99.75100708007812,100.0,-100.0
2019-06-14,-98.75344848632812,100.0,-100.0
2019-06-17,-99.99024200439453,100.0,-100.0
2019-06-18,-99.99590301513672,100.0,-99.99999237060547
2019-06-19,99.99773406982422,100.0,-100.0
2019-06-20,97.08273315429688,100.0,-97.4775619506836
2019-06-21,99.99930572509766,100.0,-96.95381164550781
2019-06-24,-99.95014953613281,100.0,-90.33139038085938
2019-06-25,-99.82186889648438,100.0,-100.0
2019-06-26,-100.0,100.0,-99.74493408203125
2019-06-27,-100.0,100.0,-100.0
2019-06-28,100.0,100.0,-100.0
2019-07-01,-100.0,100.0,-99.88929748535156
2019-07-02,100.0,100.0,-99.68988037109375
2019-07-03,-100.0,100.0,-99.99786376953125
2019-07-04,-99.99998474121094,100.0,-96.2530288696289
