date,STB,SBT,FPT
2019-10-08,-99.99999237060547,-30.7380313873291,99.73873138427734
2019-10-09,-100.0,-99.9993896484375,95.85850524902344
2019-10-10,2.1747708320617676,-100.0,-99.99994659423828
2019-10-11,100.0,-100.0,100.0
2019-10-14,-33.421504974365234,-73.90656280517578,-100.0
2019-10-15,100.0,-100.0,100.0
2019-10-16,97.83585357666016,-96.45032501220703,-60.134063720703125
2019-10-17,100.0,-100.0,99.99946594238281
2019-10-18,-99.98958587646484,-100.0,100.0
2019-10-21,-90.93855285644531,99.99974060058594,100.0
2019-10-22,61.793304443359375,99.99747467041016,99.9410171508789
2019-10-23,-100.0,-99.99866485595703,-99.99990844726562
2019-10-24,100.0,-100.0,100.0
2019-10-25,2.658247947692871,-100.0,100.0
2019-10-28,99.99980926513672,-87.84666442871094,-99.9998550415039
2019-10-29,100.0,-100.0,100.0
2019-10-30,-99.99964904785156,-100.0,100.0
2019-10-31,-99.99793243408203,-100.0,68.95423889160156
2019-11-01,-99.92516326904297,-99.93959045410156,-100.0
2019-11-04,100.0,-100.0,100.0
2019-11-05,-99.9997329711914,-100.0,-100.0
2019-11-06,100.0,-100.0,100.0
2019-11-07,68.6362533569336,-100.0,99.7953872680664
2019-11-08,-99.52803802490234,-100.0,-96.84384155273438
2019-11-11,100.0,-100.0,100.0
2019-11-12,-37.946414947509766,-100.0,-100.0
2019-11-13,100.0,-100.0,100.0
2019-11-14,99.80394744873047,-100.0,99.99574279785156
2019-11-15,-58.744476318359375,-22.296857833862305,99.81365203857422
2019-11-18,-100.0,-100.0,74.84185791015625
2019-11-19,-99.9921875,-99.99999237060547,99.98726654052734
2019-11-20,-99.99864959716797,99.99927520751953,100.0
2019-11-21,99.99908447265625,99.9996566772461,99.0670166015625
2019-11-22,-99.99976348876953,100.0,-99.68589782714844
2019-11-25,100.0,-100.0,100.0
2019-11-26,99.99864196777344,99.91426086425781,-99.50202941894531
2019-11-27,100.0,-100.0,100.0
2019-11-28,100.0,100.0,99.6632080078125
2019-11-29,-100.0,100.0,30.27653694152832
2019-12-02,-99.99993133544922,-100.0,-99.9688949584961
2019-12-03,100.0,-100.0,100.0
2019-12-04,-99.62053680419922,-80.99012756347656,-91.79110717773438
2019-12-05,100.0,-100.0,100.0
2019-12-06,-99.803955078125,100.0,-64.76203918457031
2019-12-09,100.0,-100.0,100.0
2019-12-10,-99.99956512451172,-99.9863052368164,-98.26476287841797
2019-12-11,100.0,-100.0,100.0
2019-12-12,-81.89102172851562,100.0,99.90818786621094
2019-12-13,-85.24279022216797,-64.77445983886719,100.0
2019-12-16,18.750404357910156,99.97794342041016,100.0
2019-12-17,99.81562805175781,99.9989013671875,-99.99998474121094
2019-12-18,100.0,-100.0,100.0
2019-12-19,-100.0,-100.0,99.99935913085938
2019-12-20,72.07491302490234,99.99336242675781,99.83389282226562
2019-12-23,-99.9954833984375,99.9998779296875,100.0
2019-12-24,-74.40550994873047,96.03466796875,99.9989013671875
2019-12-25,-98.76209259033203,-100.0,-99.72244262695312
2019-12-26,100.0,-100.0,100.0
2019-12-27,100.0,-99.9934310913086,87.2780532836914
2019-12-30,100.0,-100.0,-99.95077514648438
2019-12-31,100.0,-100.0,100.0
2020-01-02,-99.99993133544922,-99.99996948242188,94.269775390625
2020-01-03,-99.99998474121094,-100.0,-100.0
2020-01-06,100.0,-100.0,100.0
2020-01-07,-99.9999771118164,-99.70647430419922,-92.18148803710938
2020-01-08,100.0,-100.0,100.0
2020-01-09,99.9991683959961,-99.9945068359375,99.98442840576172
2020-01-10,-99.9999771118164,-100.0,-99.99996185302734
2020-01-13,100.0,-100.0,100.0
2020-01-14,99.89521789550781,-100.0,99.96649932861328
2020-01-15,-14.136791229248047,-99.99993896484375,100.0
2020-01-16,-100.0,-100.0,99.99979400634766
2020-01-17,-100.0,-99.99996185302734,-99.99871826171875
2020-01-20,100.0,-100.0,100.0
2020-01-21,-100.0,-29.867284774780273,99.99876403808594
2020-01-22,99.99993133544922,100.0,90.43235778808594
2020-01-30,-99.99999237060547,100.0,-99.66468048095703
2020-01-31,100.0,-100.0,100.0
2020-02-03,63.05207061767578,99.99995422363281,-99.99998474121094
2020-02-04,100.0,-100.0,100.0
2020-02-05,-84.45796203613281,89.06993865966797,-99.74787902832031
2020-02-06,100.0,-100.0,100.0
2020-02-07,100.0,-99.90381622314453,-79.12078094482422
2020-02-10,100.0,-100.0,100.0
2020-02-11,-99.91134643554688,99.62744903564453,-85.75350952148438
2020-02-12,100.0,-100.0,100.0
2020-02-13,-99.76709747314453,99.38738250732422,99.99921417236328
2020-02-14,-94.32662963867188,93.24170684814453,-9.400707244873047
2020-02-17,-26.578033447265625,99.99995422363281,39.767311096191406
2020-02-18,-15.651637077331543,53.62250900268555,-23.37405014038086
2020-02-19,54.74375534057617,-99.99978637695312,-100.0
2020-02-20,100.0,-100.0,100.0
2020-02-21,-99.99976348876953,-99.99947357177734,100.0
2020-02-24,-18.32551383972168,87.35232543945312,-59.943603515625
2020-02-25,100.0,-100.0,100.0
2020-02-26,-95.4312515258789,99.99783325195312,-99.99959564208984
2020-02-27,100.0,-100.0,100.0
2020-02-28,-95.34854125976562,-100.0,99.989990234375
2020-03-02,99.71737670898438,100.0,-100.0
2020-03-03,100.0,-100.0,100.0
2020-03-04,-99.99349975585938,-99.99980926513672,99.35681915283203
2020-03-05,-88.97409057617188,-100.0,5.151927471160889
2020-03-06,100.0,-99.99996948242188,-99.54063415527344
2020-03-09,100.0,-100.0,100.0
2020-03-10,-98.4084701538086,96.92452239990234,97.93043518066406
2020-03-11,-100.0,99.99891662597656,-99.37364196777344
2020-03-12,100.0,-100.0,100.0
2020-03-13,77.1703872680664,100.0,-99.9998779296875
2020-03-16,100.0,-100.0,-38.74339294433594
2020-03-17,100.0,-100.0,100.0
2020-03-18,89.56303405761719,98.51055145263672,22.39828109741211
2020-03-19,-97.45742797851562,99.7627944946289,-94.28176879882812
2020-03-20,100.0,-100.0,100.0
2020-03-23,-100.0,-82.2912368774414,-97.20176696777344
2020-03-24,100.0,-100.0,100.0
2020-03-25,19.92015838623047,99.99847412109375,-93.00462341308594
2020-03-26,100.0,-100.0,100.0
2020-03-27,-99.99128723144531,99.47982788085938,-99.81948852539062
2020-03-30,100.0,-100.0,100.0
2020-03-31,-31.10381317138672,69.58000946044922,99.98499298095703
2020-04-01,99.68948364257812,95.83197784423828,42.30693435668945
2020-04-03,-86.79586029052734,100.0,99.41266632080078
2020-04-06,-96.16864776611328,99.9968032836914,-99.87016296386719
2020-04-07,100.0,-100.0,100.0
2020-04-08,-75.7318344116211,77.7547836303711,93.26355743408203
2020-04-09,-82.5152816772461,100.0,-100.0
2020-04-10,100.0,-100.0,100.0
2020-04-13,14.377307891845703,99.99873352050781,-100.0
2020-04-14,100.0,-100.0,100.0
2020-04-15,99.93447875976562,-99.91565704345703,-100.0
2020-04-16,100.0,-100.0,100.0
2020-04-17,-99.35248565673828,-100.0,100.0
2020-04-20,-97.56397247314453,-99.98404693603516,-99.23084259033203
2020-04-21,100.0,-100.0,100.0
2020-04-22,-29.980749130249023,99.99980926513672,-99.99998474121094
2020-04-23,100.0,-100.0,100.0
2020-04-24,-100.0,-100.0,-100.0
2020-04-27,100.0,-100.0,100.0
2020-04-28,1.8932104110717773,-99.95079040527344,-100.0
2020-04-29,100.0,-100.0,100.0
2020-05-04,-99.81025695800781,35.06102752685547,99.99408721923828
2020-05-05,-99.9893569946289,100.0,-100.0
2020-05-06,100.0,-100.0,100.0
2020-05-07,-68.88623809814453,-99.90006256103516,94.63555908203125
2020-05-08,-99.5630111694336,-100.0,-94.92396545410156
2020-05-11,100.0,-100.0,100.0
2020-05-12,-99.992431640625,-99.99982452392578,-99.16107940673828
2020-05-13,100.0,-100.0,100.0
2020-05-14,-85.26998901367188,-73.08878326416016,-57.28296661376953
2020-05-15,100.0,-100.0,100.0
2020-05-18,-99.98633575439453,-100.0,-95.5867919921875
2020-05-19,100.0,-100.0,100.0
2020-05-20,89.12095642089844,-99.99958038330078,-100.0
2020-05-21,100.0,-100.0,100.0
2020-05-22,99.91980743408203,-100.0,-99.72867584228516
2020-05-25,100.0,-100.0,100.0
2020-05-26,-99.99081420898438,-99.99974822998047,100.0
2020-05-27,-92.78294372558594,-99.8790054321289,-100.0
2020-05-28,100.0,-100.0,100.0
2020-05-29,-64.71866607666016,-91.21615600585938,100.0
2020-06-01,63.413475036621094,-99.61100769042969,-99.9996109008789
2020-06-02,100.0,-100.0,100.0
2020-06-03,99.80392456054688,-100.0,-56.621646881103516
2020-06-04,100.0,-100.0,100.0
2020-06-05,-99.99684143066406,-99.88896942138672,98.85661315917969
2020-06-08,-100.0,-99.99998474121094,62.1861572265625
2020-06-09,-100.0,-100.0,-100.0
2020-06-10,100.0,-100.0,100.0
2020-06-11,-10.905045509338379,99.98762512207031,66.76129150390625
2020-06-12,99.84207153320312,100.0,-100.0
2020-06-15,100.0,-100.0,100.0
2020-06-16,99.99189758300781,-33.897132873535156,73.0671615600586
2020-06-17,99.99993133544922,99.5102310180664,99.99921417236328
2020-06-18,-99.87698364257812,-99.99883270263672,-97.27546691894531
2020-06-19,100.0,-100.0,100.0
2020-06-22,-99.74630737304688,-99.98999786376953,-75.49120330810547
2020-06-23,100.0,-100.0,100.0
2020-06-24,97.10409545898438,-99.99129486083984,-99.99995422363281
2020-06-25,100.0,-100.0,100.0
2020-06-26,1.2114882469177246,100.0,99.99993133544922
2020-06-29,-99.99999237060547,-99.97872924804688,92.02766418457031
2020-06-30,-53.70854568481445,100.0,100.0
2020-07-01,99.9927978515625,-96.62251281738281,-99.87889862060547
2020-07-02,100.0,-100.0,100.0
2020-07-03,-100.0,97.02513122558594,100.0
2020-07-06,-99.99986267089844,100.0,-100.0
2020-07-07,100.0,-100.0,100.0
2020-07-08,-63.15174102783203,-100.0,-100.0
2020-07-09,100.0,-100.0,100.0
2020-07-10,-92.61797332763672,99.89604949951172,99.99127197265625
2020-07-13,-99.73298645019531,-100.0,100.0
2020-07-14,81.1447982788086,-100.0,-100.0
2020-07-15,100.0,-100.0,100.0
2020-07-16,-95.26451110839844,-100.0,99.99015045166016
2020-07-17,99.97030639648438,-99.85891723632812,-99.4955825805664
2020-07-20,100.0,-100.0,100.0
2020-07-21,-43.05800247192383,99.94599914550781,38.61200714111328
2020-07-22,-100.0,99.82227325439453,99.76113891601562
2020-07-23,-99.143310546875,-98.32676696777344,-99.99481201171875
2020-07-24,100.0,-100.0,100.0
2020-07-27,-100.0,100.0,-99.08653259277344
2020-07-28,100.0,-100.0,100.0
2020-07-29,-100.0,100.0,-97.9052734375
2020-07-30,100.0,-100.0,100.0
2020-07-31,-99.96561431884766,99.99971008300781,-80.4876937866211
2020-08-03,100.0,-100.0,100.0
2020-08-04,-45.48773956298828,-100.0,-99.9919662475586
2020-08-05,100.0,-100.0,100.0
2020-08-06,41.308475494384766,-94.00303649902344,99.6318588256836
2020-08-07,-70.97639465332031,13.288307189941406,99.99771118164062
2020-08-10,-16.848087310791016,99.93905639648438,-99.99998474121094
2020-08-11,100.0,-100.0,100.0
2020-08-12,-17.108022689819336,35.68797302246094,-99.93616485595703
2020-08-13,100.0,-100.0,100.0
2020-08-14,-86.99620056152344,-100.0,-100.0
2020-08-17,100.0,-100.0,100.0
2020-08-18,69.78199768066406,-100.0,-91.39964294433594
2020-08-19,100.0,-100.0,100.0
2020-08-20,-99.81287384033203,-100.0,99.9999771118164
2020-08-21,8.579933166503906,-99.99993133544922,-83.3443832397461
2020-08-24,100.0,-100.0,100.0
2020-08-25,-92.20464324951172,-99.11160278320312,76.75242614746094
2020-08-26,-100.0,-100.0,-92.87982940673828
2020-08-27,100.0,-100.0,100.0
2020-08-28,32.617462158203125,-100.0,-100.0
2020-08-31,100.0,-100.0,100.0
2020-09-01,-100.0,-100.0,-90.89714050292969
2020-09-03,100.0,-100.0,100.0
2020-09-04,-100.0,-100.0,-99.99809265136719
2020-09-07,100.0,-100.0,100.0
2020-09-08,-99.97733306884766,-98.21015930175781,-99.99868774414062
2020-09-09,100.0,-100.0,100.0
2020-09-10,-99.9623031616211,-100.0,-99.99998474121094
2020-09-11,100.0,-100.0,100.0
2020-09-14,95.63414764404297,-99.98066711425781,-85.86665344238281
2020-09-15,100.0,-100.0,100.0
2020-09-16,-99.99950408935547,-100.0,99.63774871826172
2020-09-17,-99.9985580444336,-100.0,-99.99990844726562
2020-09-18,100.0,-100.0,100.0
2020-09-21,7.242941856384277,-100.0,-99.99767303466797
2020-09-22,100.0,-100.0,100.0
2020-09-23,-99.63885498046875,-99.99880981445312,-100.0
2020-09-24,100.0,-100.0,100.0
2020-09-25,-100.0,-99.99998474121094,99.99561309814453
2020-09-28,99.95820617675781,-99.99604034423828,-99.99929809570312
2020-09-29,100.0,-100.0,100.0
2020-09-30,-99.99816131591797,99.17788696289062,-100.0
2020-10-01,100.0,-100.0,100.0
2020-10-02,-99.9988784790039,-99.99505615234375,99.99938201904297
2020-10-05,-99.98439025878906,-100.0,-100.0
2020-10-06,100.0,-100.0,100.0
2020-10-07,-99.9998779296875,-99.99984741210938,-99.98191833496094
2020-10-08,100.0,-100.0,100.0
2020-10-09,-49.72907257080078,99.69458770751953,-100.0
2020-10-12,100.0,-100.0,100.0
2020-10-13,-91.48592376708984,-100.0,90.28140258789062
2020-10-14,-99.95809173583984,-96.23602294921875,100.0
2020-10-15,9.652185440063477,-100.0,-99.98101806640625
2020-10-16,100.0,-100.0,100.0
2020-10-19,91.40608215332031,-100.0,-99.99983215332031
2020-10-20,100.0,-100.0,100.0
2020-10-21,-99.1896743774414,-100.0,-98.76498413085938
2020-10-22,100.0,-100.0,100.0
2020-10-23,-99.9949951171875,-100.0,-99.99659729003906
2020-10-26,100.0,-100.0,100.0
2020-10-27,-99.94445037841797,-100.0,99.91703033447266
2020-10-28,-99.73884582519531,100.0,100.0
2020-10-29,96.79963684082031,100.0,-18.5117130279541
2020-10-30,-99.99993133544922,-85.28492736816406,65.6311264038086
2020-11-02,100.0,90.7902603149414,100.0
2020-11-03,-99.33350372314453,-100.0,-98.21422576904297
2020-11-04,100.0,-100.0,100.0
2020-11-05,-99.99516296386719,-100.0,-99.91475677490234
2020-11-06,100.0,-100.0,100.0
2020-11-09,-99.99925994873047,-99.99996948242188,-100.0
2020-11-10,100.0,-100.0,100.0
2020-11-11,-99.94071960449219,-100.0,99.83377075195312
2020-11-12,-32.421302795410156,50.979827880859375,1.5071392059326172
2020-11-13,-93.41323852539062,-100.0,-100.0
2020-11-16,100.0,-100.0,100.0
2020-11-17,-73.73365020751953,-100.0,-100.0
2020-11-18,100.0,-100.0,100.0
2020-11-19,-100.0,-100.0,-55.70030212402344
2020-11-20,100.0,-100.0,100.0
2020-11-23,-99.91407012939453,-100.0,-100.0
2020-11-24,100.0,-100.0,100.0
2020-11-25,-99.99998474121094,-99.99967956542969,-100.0
2020-11-26,100.0,-100.0,100.0
2020-11-27,99.18916320800781,-100.0,-99.99990844726562
