date,VNM,SSI,REE
2019-05-30,99.98696899414062,-99.99786376953125,-100.0
2019-05-31,99.96746826171875,83.93124389648438,99.72306823730469
2019-06-03,99.92508697509766,-99.98444366455078,100.0
2019-06-04,99.92413330078125,-99.99150085449219,-100.0
2019-06-05,99.91194152832031,-99.99356842041016,-100.0
2019-06-06,99.97889709472656,99.99357604980469,-99.99589538574219
2019-06-07,99.9994888305664,56.844520568847656,-99.99998474121094
2019-06-10,99.99974060058594,-99.99443054199219,-100.0
2019-06-11,99.99970245361328,-98.48638916015625,-100.0
2019-06-12,99.99954986572266,-58.436256408691406,-100.0
2019-06-13,99.99114227294922,99.99984741210938,-100.0
2019-06-14,99.97210693359375,82.26979064941406,-100.0
2019-06-17,97.26399230957031,-71.99192810058594,-99.99984741210938
