date,REE,VNM,REE
2019-05-22,-99.99427032470703,100.0,-100.0
2019-05-23,-99.57540130615234,-99.42524719238281,-100.0
2019-05-24,-100.0,100.0,-100.0
2019-05-27,-33.93324661254883,-95.83613586425781,-100.0
2019-05-28,-100.0,100.0,-100.0
2019-05-29,-99.9803695678711,99.94998931884766,-99.99995422363281
2019-05-30,-99.95486450195312,99.9984359741211,-99.99995422363281
2019-05-31,-99.98162841796875,99.94535827636719,-99.99991607666016
2019-06-03,-99.9986801147461,97.36003875732422,-99.99969482421875
2019-06-04,-99.99968719482422,99.97962951660156,-99.99981689453125
2019-06-05,-99.9992904663086,99.9953384399414,-99.99909210205078
2019-06-06,-99.96881103515625,97.964599609375,-99.99979400634766
2019-06-07,-99.99990844726562,99.82550048828125,-99.99998474121094
